Neighbourhood ID,Neighbourhood,n_properties,avall_public,median_assessvalue,sd_assessedvalue,median_yearbuilt,pct_with_unit,avg_assessvalue_without_unit,avg_lotsize,suppressed
5040,BELGRAVIA,1021,782997.0617042116,697500,435451.8061525918,1992,25.073457394711067,913495.424836601,640.206811764706,FALSE
5050,BLACKMUD CREEK RAVINE,2,NA,NA,NA,NA,NA,NA,NA,TRUE
5060,BLUE QUILL,1086,367824.5856353593,393000,189424.79833559922,1979,50.09208103130756,529785.0553505536,656.2640442804428,FALSE
5070,BLUE QUILL ESTATES,361,610296.3988919668,651500,315924.25158096984,1979,26.59279778393352,735037.7358490567,756.7757056603773,FALSE
5080,BRANDER GARDENS,893,414984.3225083983,231500,545754.0175059597,1973,64.05375139977603,788900.3115264793,1070.114953271028,FALSE
5090,BROOKSIDE,619,699582.3909531502,627000,417236.634367539,1971,0,699582.3909531502,829.2555525040389,FALSE
5100,BULYEA HEIGHTS,1283,701273.5775526109,690000,204748.73870619494,1990,16.913484021823848,751340.056285178,711.6185816135085,FALSE
5130,CARTER CREST,623,611823.4349919744,627000,181278.48740692317,1995,28.892455858747994,695150.1128668173,656.7214853273138,FALSE
5151,STRATHCONA JUNCTION,1,NA,NA,NA,NA,NA,NA,NA,TRUE
5160,DUGGAN,1202,440282.86189683835,465000,107565.93093485036,1971,10.232945091514143,469145.04170528264,623.7889564411493,FALSE
5170,EMPIRE PARK,997,206946.33901705124,173500,77635.66878315041,1983,86.15847542627884,369666.6666666666,434.84884782608697,FALSE
5180,ERMINESKIN,1508,275252.98408488056,239500,121750.2045185674,1982,77.05570291777188,449835.260115607,570.9134913294797,FALSE
5190,FALCONER HEIGHTS,612,565249.1830065357,585500,176710.44514466793,1997,25.98039215686275,639576.1589403974,639.6636843267108,FALSE
5200,GARNEAU,2103,378002.6153114605,320500,367438.019612445,1981,71.46932952924394,684365.8333333334,373.81453,FALSE
5210,GRANDVIEW HEIGHTS,386,1030682.6424870465,940500,513969.9972892566,1965,0,1030682.6424870465,794.508378238342,FALSE
5220,GREENFIELD,1393,502948.3129935388,503500,108195.05579980371,1967,0,502948.3129935388,599.2549174443647,FALSE
5230,HENDERSON ESTATES,623,795152.4879614761,709000,287121.22263071674,1990,3.6918138041733553,805860.8333333334,741.7581833333334,FALSE
5250,KEHEEWIN,1207,341989.2294946137,329000,173243.58291591957,1983,47.39022369511185,481236.22047244105,611.664325984252,FALSE
